Date/Time,Power Produced (W)
03/04/19 16:30,364.0
03/04/19 16:35,359.0
03/04/19 16:40,333.0
03/04/19 16:45,322.0
03/04/19 16:50,246.0
03/04/19 16:55,226.0
03/04/19 17:00,226.0
03/04/19 17:05,204.0
03/04/19 17:10,196.0
03/04/19 17:15,196.0
03/04/19 17:20,148.0
03/04/19 17:25,131.0
03/04/19 17:30,131.0
03/04/19 17:35,87.0
03/04/19 17:40,71.0
03/04/19 17:45,71.0
03/04/19 17:50,48.0
03/04/19 17:55,39.0
03/04/19 18:00,39.0
03/04/19 18:05,24.0
03/04/19 18:10,19.0
03/04/19 18:15,19.0
03/04/19 18:20,5.0
03/04/19 18:25,0.0
03/04/19 18:30,0.0
03/04/19 18:35,0.0
03/04/19 18:40,0.0
03/04/19 18:45,0.0
03/04/19 18:50,0.0
03/04/19 18:55,0.0
03/04/19 19:00,0.0
03/04/19 19:05,0.0
03/04/19 19:10,0.0
03/04/19 19:15,0.0
03/04/19 19:20,0.0
03/04/19 19:25,0.0
03/04/19 19:30,0.0
03/04/19 19:35,0.0
03/04/19 19:40,0.0
03/04/19 19:45,0.0
03/04/19 19:50,0.0
03/04/19 19:55,0.0
03/04/19 20:00,0.0
03/04/19 20:05,0.0
03/04/19 20:10,0.0
03/04/19 20:15,0.0
03/04/19 20:20,0.0
03/04/19 20:25,0.0
03/04/19 20:30,0.0
03/04/19 20:35,0.0
03/04/19 20:40,0.0
03/04/19 20:45,0.0
03/04/19 20:50,0.0
03/04/19 20:55,0.0
03/04/19 21:00,0.0
03/04/19 21:05,0.0
03/04/19 21:10,0.0
03/04/19 21:15,0.0
03/04/19 21:20,0.0
03/04/19 21:25,0.0
03/04/19 21:30,0.0
03/04/19 21:35,0.0
03/04/19 21:40,0.0
03/04/19 21:45,0.0
03/04/19 21:50,0.0
03/04/19 21:55,0.0
03/04/19 22:00,0.0
03/04/19 22:05,0.0
03/04/19 22:10,0.0
03/04/19 22:15,0.0
03/04/19 22:20,0.0
03/04/19 22:25,0.0
03/04/19 22:30,0.0
03/04/19 22:35,0.0
03/04/19 22:40,0.0
03/04/19 22:45,0.0
03/04/19 22:50,0.0
03/04/19 22:55,0.0
03/04/19 23:00,0.0
03/04/19 23:05,0.0
03/04/19 23:10,0.0
03/04/19 23:15,0.0
03/04/19 23:20,0.0
03/04/19 23:25,0.0
03/04/19 23:30,0.0
03/04/19 23:35,0.0
03/04/19 23:40,0.0
03/04/19 23:45,0.0
03/04/19 23:50,0.0
03/04/19 23:55,0.0
04/04/19 0:00,0.0
