datetime,Power (Kw)
04/02/2016 23:30,48.74290250000001
04/02/2016 23:45,40.6440872
04/03/2016 00:00,43.67976750000001
04/03/2016 00:15,43.67829700000001
04/03/2016 00:30,45.94200940000001
04/03/2016 00:45,47.36209600000001
04/03/2016 01:00,43.2913226
04/03/2016 01:15,38.2440546
04/03/2016 01:30,42.16717320000001
04/03/2016 01:45,45.2303016
04/03/2016 02:00,46.9889669
04/03/2016 02:15,41.6857624
04/03/2016 02:30,43.098809300000006
04/03/2016 02:45,41.593471599999994
04/03/2016 03:00,44.15333649999999
04/03/2016 03:15,50.193425600000005
04/03/2016 03:30,40.7856326
04/03/2016 03:45,40.85056540000001
04/03/2016 04:00,39.7280763
04/03/2016 04:15,46.9951335
04/03/2016 04:30,46.463017
04/03/2016 04:45,43.760419999999996
04/03/2016 05:00,42.917737
04/03/2016 05:15,39.0784251
04/03/2016 05:30,44.1033656
04/03/2016 05:45,49.749049199999995
04/03/2016 06:00,39.0694838
04/03/2016 06:15,41.9883432
04/03/2016 06:30,41.3767674
04/03/2016 06:45,45.49936689999999
04/03/2016 07:00,47.479194400000004
04/03/2016 07:15,41.0342464
04/03/2016 07:30,41.603727199999994
04/03/2016 07:45,39.4733862
04/03/2016 08:00,47.1756082
04/03/2016 08:15,47.860436400000005
04/03/2016 08:30,40.7499372
04/03/2016 08:45,41.6026265
04/03/2016 09:00,42.740400300000005
04/03/2016 09:15,59.4643654
04/03/2016 09:30,68.3694449
04/03/2016 09:45,63.8487948
04/03/2016 10:00,66.000655
04/03/2016 10:15,69.867686
04/03/2016 10:30,83.48234280000001
04/03/2016 10:45,83.9847105
04/03/2016 11:00,81.211761
04/03/2016 11:15,75.2276792
04/03/2016 11:30,75.6754196
04/03/2016 11:45,80.9531177
04/03/2016 12:00,83.29770260000002
04/03/2016 12:15,74.52343699999999
04/03/2016 12:30,76.06737700000001
04/03/2016 12:45,76.1116648
04/03/2016 13:00,81.41208619999999
04/03/2016 13:15,84.9434868
04/03/2016 13:30,78.7795804
04/03/2016 13:45,79.0542725
04/03/2016 14:00,76.03346410000002
04/03/2016 14:15,76.52734140000001
04/03/2016 14:30,83.7751648
04/03/2016 14:45,82.84663440000001
04/03/2016 15:00,84.8084082
04/03/2016 15:15,80.94656810000001
04/03/2016 15:30,82.1746607
04/03/2016 15:45,86.232254
04/03/2016 16:00,81.0978805
04/03/2016 16:15,72.4945144
04/03/2016 16:30,72.6558908
04/03/2016 16:45,72.93825
04/03/2016 17:00,76.9790766
04/03/2016 17:15,76.622406
04/03/2016 17:45,62.857779
04/03/2016 20:15,67.25581299999999
04/03/2016 20:30,65.14384240000001
04/03/2016 21:00,68.71187760000001
04/03/2016 21:15,0.41855110000000034
04/03/2016 21:30,61.8050574
04/03/2016 21:45,55.854875299999996
04/03/2016 22:00,59.5955662
04/03/2016 22:15,64.05733799999999
04/03/2016 22:30,54.2961922
04/03/2016 22:45,51.864796500000004
04/03/2016 23:00,55.3742561
04/03/2016 23:15,60.404984299999995
04/03/2016 23:30,42.10386760000001
04/03/2016 23:45,39.9588915
04/04/2016 00:00,41.0144791
04/04/2016 00:15,38.741994000000005
04/04/2016 00:30,45.8380273
04/04/2016 00:45,43.559688
04/04/2016 01:00,38.906192600000004
04/04/2016 01:15,41.1357569
04/04/2016 01:30,40.2428045
04/04/2016 01:45,48.83674320000001
04/04/2016 02:00,41.78189750000001
04/04/2016 02:15,42.7351822
04/04/2016 02:30,41.7063606
04/04/2016 02:45,38.2154863
04/04/2016 03:00,52.047053
04/04/2016 03:15,38.0467256
04/04/2016 03:30,37.5628824
04/04/2016 03:45,41.234814
04/04/2016 04:00,41.07264479999999
04/04/2016 04:15,52.611295500000004
04/04/2016 04:30,41.647203399999995
04/04/2016 04:45,36.4574277
04/04/2016 05:00,38.77057
04/04/2016 05:15,40.4251895
04/04/2016 05:30,50.05678720000001
04/04/2016 05:45,36.57712580000001
04/04/2016 06:00,39.65529360000001
04/04/2016 06:15,39.0559732
04/04/2016 06:30,37.0271233
04/04/2016 06:45,49.3339405
04/04/2016 07:00,39.477830700000005
04/04/2016 07:15,38.5946412
04/04/2016 07:30,35.9234697
04/04/2016 07:45,42.958226800000006
04/04/2016 08:00,48.179393299999994
04/04/2016 08:15,49.0070052
04/04/2016 08:30,54.139476300000005
04/04/2016 08:45,50.8225122
04/04/2016 09:00,58.877195699999994
04/04/2016 09:15,79.6673406
04/04/2016 09:30,84.3120296
04/04/2016 09:45,106.4878818
04/04/2016 10:00,119.1829044
04/04/2016 10:15,129.20242400000004
04/04/2016 10:30,140.5272256
